# harmonico erro_mag_medio_percent erro_mag_max_percent erro_fase_medio_graus erro_fase_max_graus tve_medio_percent tve_max_percent
1 0.0365400435 0.0370660861 87.1923608718 87.2088608945 137.8890582000 137.9100850426
3 0.0366035277 0.0478744659 98.4240229733 98.4680358290 151.3986868824 151.4483930329
5 0.0275472356 0.0402064461 75.9581077526 76.0421490465 123.0577079607 123.1761883246
7 0.0180695664 0.0328474981 109.6608394326 109.7638522992 163.4753604761 163.5773676860
9 0.0087990699 0.0229153898 64.7182756719 64.8706088693 107.0409695882 107.2702787248
11 0.0112886644 0.0186078860 120.9046996449 121.0676578225 173.9924846692 174.1310035089
13 0.0154436702 0.0320443268 53.4701482503 53.6939711780 89.9793318090 90.3340098516
15 0.0217398074 0.0444028352 132.1568127453 132.3766901384 182.8397057809 183.0085195653
17 0.0260411255 0.0538194744 42.2147759367 42.5085917093 72.0325377938 72.5175240186
19 0.0275711864 0.0593984658 143.4145200874 143.6956058343 189.9165999070 190.0940071188
21 0.0286510670 0.0605466564 30.9559542092 31.3210436937 53.3787222991 53.9995951043
23 0.0311156290 0.0569974031 154.6731225315 155.0169019717 195.1428617806 195.3124363796
25 0.0360995668 0.0620629641 19.6988837105 20.1366548159 34.2105489950 34.9691687367
27 0.0466613194 0.0922506965 165.9275014650 166.3355909373 198.4640181215 198.6091874958
29 0.0625084914 0.1286024073 8.4480831483 8.9598635623 14.7273803804 15.6212492649
31 0.0852657497 0.0863576942 177.1749722914 177.6055083902 199.8531758049 199.8714716511
33 0.1194371598 0.1206646624 2.7952472653 3.2532537783 4.8766927946 5.6750972242
35 0.1571492339 0.1591581248 171.5862862916 172.1636897653 199.3033855530 199.3771988335
37 0.1984895953 0.2017285864 14.0308047199 14.5454514342 24.4036438166 25.2939828220
39 0.2439711478 0.2490540166 160.3528945178 160.9976719968 196.8259168260 197.0187389018
41 0.2946142596 0.3023499679 25.2632822304 25.8359423996 43.6726408214 44.6456671681
43 0.3519910093 0.3634362322 149.1199850786 149.8338304441 192.4411825541 192.7763712840
45 0.4182340498 0.4347326589 36.4979286443 37.1309618807 62.4990900365 63.5440376056
47 0.4960089126 0.5192521527 137.8824691792 138.6681653281 186.1779437524 186.6792259995
49 0.5884658573 0.6206209364 47.7391757675 48.4363968867 80.6941059609 81.7986716696
