# harmonico erro_mag_medio_percent erro_mag_max_percent erro_fase_medio_graus erro_fase_max_graus tve_medio_percent tve_max_percent
1 0.0391631920 0.0646739196 94.5628259030 178.7733076959 132.5133601611 199.9600735641
3 0.5584783419 3.0122661434 92.0160731992 179.3413538462 129.7627195127 202.1291890116
5 0.3791739024 2.0271834436 91.4967940986 177.6720169359 129.2781520006 199.3080261891
7 0.3951006444 1.5948422490 90.4487021701 179.4101167001 127.4589270100 199.9757399126
9 0.3871766462 1.1451906914 90.1782477144 173.8997929424 127.9815863231 200.3186892520
11 0.6199408787 1.5962244968 85.3708153189 175.5828774708 121.1394960927 201.0189236435
13 1.0520565583 3.2630730279 92.6614871369 178.8434450809 130.2717641364 201.6317622812
15 1.4263404538 4.2628755811 89.7748476283 175.8593870723 126.7845458524 201.8115249759
17 1.6833393133 4.7113131584 89.3461476642 175.0821318424 126.6367359617 201.6850893410
19 2.0479960597 5.3559214742 90.5818062427 176.8147403718 128.2804497170 199.4882707679
21 2.6129547738 7.8392165832 91.7510789379 178.2875057725 128.9157959562 202.7371710028
23 3.1526712479 9.6386803992 92.6493590364 173.4146196198 130.4703464626 202.9601111639
25 3.5282234992 10.8530651116 125.6572863903 178.4816373585 170.0468662312 204.2359754144
27 3.9646775188 11.8856000872 91.6125979895 164.5083176305 128.8913942407 202.6099033082
29 4.6375438293 14.8741797103 94.0448522136 175.0313603164 131.6506335791 199.7732452566
31 5.2986482553 17.4344741190 90.2265210672 175.9090708442 126.4919638956 204.2476812475
33 5.7230625150 19.2970844641 89.4202363528 169.5279759913 127.3077540393 206.3156499807
35 6.1385465307 20.5273298800 88.5177936805 177.1893681006 125.4604652305 205.6015554714
37 6.8751537654 24.2064719386 79.6917867840 179.9077705906 113.7933799920 208.0241770765
39 7.6569597160 27.6827341225 92.5622215945 178.6207656331 128.4715746842 208.7346508673
41 8.0108100233 30.2890317956 89.0917971822 178.1454541451 125.0392720406 207.4508888315
43 8.2231816512 30.9157087610 88.1992049314 176.0621275909 128.0935281979 208.1731084988
45 9.0451376207 35.8664976163 89.9744336504 173.8526386974 127.8498864758 208.8195184558
47 10.2533879204 42.1480840767 90.0117514774 177.5339851606 127.2188517700 201.1499401723
49 10.2443307332 46.0397828025 98.0892634844 179.6143307533 139.6394114840 202.5147075344
